  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701022330 250  11 ***  50 *** * * *  3.8 71 ** ** ** ** ** ** ** *   28   27 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030000 250  13 ***  26 OVC * * *  3.8 71 ** ** ** ** ** ** ** 7   30   28 1018.3 *****  987.9 *** *** *****  0.01 ***** ***** ** 
125660 99999 201701030030 250  13 ***  20 *** * * *  3.8 ** ** ** ** ** ** ** ** *   28   27 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030100 250  11 ***  33 BKN * * *  5.0 22 ** ** ** ** ** ** ** 2   28   26 1019.2 *****  988.6 *** *** ***** ***** ***** ***** ** 
125660 99999 201701030130 250  11 ***  40 *** * * *  4.4 ** ** ** ** ** ** ** ** *   28   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030200 240   9 ***  26 BKN * * *  4.4 10 ** ** ** ** ** ** ** 2   28   25 1019.5 *****  988.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701030230 240   9 ***  28 *** * * *  3.8 ** ** ** ** ** ** ** ** *   28   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030300 240   9 ***  29 BKN * * *  3.1 10 ** ** ** ** ** ** ** 7   28   25 1019.6 *****  989.0 *** *** ***** ***** ***** ***** ** 
125660 99999 201701030330 250  10 ***  26 *** * * *  4.4 ** ** ** ** ** ** ** ** *   28   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030400 240   9 ***  26 BKN * * *  3.1 10 ** ** ** ** ** ** ** 2   27   25 1019.7 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030430 220   8 ***  29 *** * * *  2.8 10 ** ** ** ** ** ** ** *   27   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030500 200  11 ***  28 BKN * * *  3.1 10 ** ** ** ** ** ** ** 2   27   25 1019.9 *****  989.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701030530 210  11 ***  23 *** * * *  3.1 10 ** ** ** ** ** ** ** *   27   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030600 220  11 ***  20 BKN * * *  3.1 10 ** ** ** ** ** ** ** 7   27   25 1019.9 *****  989.2  30  26 ***** *****  0.07 *****  0 
125660 99999 201701030630 240   7 ***  21 *** * * *  2.8 10 ** ** ** ** ** ** ** *   23   21 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030700 240   7 ***  26 BKN * * *  2.8 10 ** ** ** ** ** ** ** 2   23   22 1019.9 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030730 220   6 *** *** *** * * *  3.1 10 ** ** ** ** ** ** ** *   25   23 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030800 200   7 ***  50 *** * * *  3.1 10 ** ** ** ** ** ** ** 2   25   21 1019.6 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030830 990   8 ***  46 *** * * *  3.1 71 10 ** ** ** ** ** ** *   27   23 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030900 250  14 ***  33 BKN * * *  1.9 71 10 ** ** ** ** ** ** 2   28   25 1019.4 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701030930 240  16 ***  25 *** * * *  3.8 71 ** ** ** ** ** ** ** *   28   25 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031000 230  13 ***  26 BKN * * *  6.2 22 ** ** ** ** ** ** ** 7   30   27 1018.6 *****  988.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031030 240  14 ***  26 *** * * *  6.2 ** ** ** ** ** ** ** ** *   30   25 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031100 240  20 ***  30 *** * * *  3.8 36 10 ** ** ** ** ** ** 3   30   27 1018.3 *****  987.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701031130 240  18 ***  20 *** * * *  3.8 85 36 ** ** ** ** ** ** *   30   28 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701031200 230  18 ***  13 BKN * * *  9.4 36 ** ** ** ** ** ** ** 8   31   28 1017.5 *****  987.2 *** *** *****  0.00 ***** ***** ** 
125660 99999 201701031230 230  18 ***  20 *** * * *  2.7 86 36 ** ** ** ** ** ** *   30   27 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
